Timestep: 0
3.298952627980993e-23 1.300288131719495e-23 4.619476201209234e-24
5.549727974220406e-24 3.1653651977869956e-23 1.7093802509120613e-23
2.0950548281698783e-23 1.9149218104328493e-23 2.2081930374837258e-23
3.28164445985353e-23 1.8785885307058205e-23 1.4949758642598724e-23
1.7850180308897268e-23 1.0686180087984362e-23 2.8982664156434306e-23
2.5206500894346517e-23 1.979973326881592e-23 3.050449191010602e-24
2.7180799629707124e-23 2.726004838593802e-23 2.5826327969173317e-23
8.69911407382414e-24 6.288541128326345e-24 2.4277727759452594e-23
3.603217374379513e-24 1.38396561702237e-23 7.111403032879601e-24
1.8849378893751597e-23 1.9622210654547372e-23 2.2101058814507514e-23
6.30145072869449e-24 3.3029658244418047e-23 5.0306951758047185e-24
4.0899851979991444e-24 1.4748638653414475e-23 1.5728896780967845e-23
2.796362387555214e-23 2.4714658530712492e-23 7.811468460099398e-24
3.1549941607426067e-23 1.0912914711949098e-23 1.0907819490490317e-23
3.1555167344576647e-23 8.673923033553668e-25 1.1337001222736157e-23
1.7199594238055792e-23 1.0222132110872656e-23 7.112357465622325e-24
2.953363299746324e-23 6.95916459714932e-24 2.709436689678824e-23
1.5295968230938362e-24 6.327509224242412e-24 1.9401235628931494e-23
3.262287451315289e-23 2.894336375703375e-23 2.9875560969431624e-23
2.1503400069907063e-23 9.357202250376029e-24 6.628672554409912e-24
Timestep: 1
3.298952627980993e-23 1.300288131719495e-23 4.619476201209234e-24
5.549727974220406e-24 3.1653651977869956e-23 1.7093802509120613e-23
2.0950548281698783e-23 1.9149218104328493e-23 2.2081930374837258e-23
3.28164445985353e-23 1.8785885307058205e-23 1.4949758642598724e-23
1.7850180308897268e-23 1.0686180087984362e-23 2.8982664156434306e-23
2.5206500894346517e-23 1.979973326881592e-23 3.050449191010602e-24
2.7180799629707124e-23 2.726004838593802e-23 2.5826327969173317e-23
8.69911407382414e-24 6.288541128326345e-24 2.4277727759452594e-23
3.603217374379513e-24 1.38396561702237e-23 7.111403032879601e-24
1.8849378893751597e-23 1.9622210654547372e-23 2.2101058814507514e-23
6.30145072869449e-24 3.3029658244418047e-23 5.0306951758047185e-24
4.0899851979991444e-24 1.4748638653414475e-23 1.5728896780967845e-23
2.796362387555214e-23 2.4714658530712492e-23 7.811468460099398e-24
3.1549941607426067e-23 1.0912914711949098e-23 1.0907819490490317e-23
3.1555167344576647e-23 8.673923033553668e-25 1.1337001222736157e-23
1.7199594238055792e-23 1.0222132110872656e-23 7.112357465622325e-24
